,2026-03-31,2025-03-31,2024-03-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1074720000.0,210287670.0,772072740.0,-300789181.930964,
Tax Rate For Calcs,0.4,0.1329,0.1978,0.174969,
Normalized EBITDA,73614700000.0,84584200000.0,74100500000.0,43603200000.0,
Total Unusual Items,-2686800000.0,1582300000.0,3903300000.0,-1719100000.0,
Total Unusual Items Excluding Goodwill,-2686800000.0,1582300000.0,3903300000.0,-1719100000.0,
Net Income From Continuing Operation Net Minority Interest,47281800000.0,43031000000.0,35734000000.0,19384600000.0,
Reconciled Depreciation,35704100000.0,22970400000.0,16279000000.0,12923400000.0,
Reconciled Cost Of Revenue,91097700000.0,83792600000.0,75108600000.0,37076300000.0,
EBITDA,70927900000.0,86166500000.0,78003800000.0,41884100000.0,
EBIT,35223800000.0,63196100000.0,61724800000.0,28960700000.0,
Net Interest Income,3131400000.0,22179700000.0,6605200000.0,-1554700000.0,
Interest Expense,2236100000.0,2159400000.0,2763800000.0,1554700000.0,
Interest Income,5367500000.0,24339100000.0,9369000000.0,,3336200000.0
Normalized Income,48893880000.0,41658987670.0,32602772740.0,20802910818.069035,
Net Income From Continuing And Discontinued Operation,47281800000.0,43031000000.0,35734000000.0,19384600000.0,
Total Expenses,368755100000.0,299738300000.0,277491900000.0,283931900000.0,
Rent Expense Supplemental,1827000000.0,1435600000.0,1180000000.0,,1695800000.0
Diluted Average Shares,2482207686.0,2457585687.0,2145703372.0,2027677824.0,
Basic Average Shares,2468891697.0,2451487424.0,1987962505.0,1986127049.0,
Diluted EPS,19.05,17.51,16.65,9.56,
Basic EPS,19.15,17.55,17.98,9.76,
Diluted NI Availto Com Stockholders,47281800000.0,43031000000.0,35734000000.0,19384600000.0,
Net Income Common Stockholders,47281800000.0,43031000000.0,35734000000.0,19384600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,47281800000.0,43031000000.0,35734000000.0,19384600000.0,
Minority Interests,-9089000000.0,-9909800000.0,-11612300000.0,-3226200000.0,
Net Income Including Noncontrolling Interests,56370800000.0,52940800000.0,47346300000.0,22610800000.0,
Net Income Continuous Operations,56370800000.0,52940800000.0,47346300000.0,22610800000.0,
Tax Provision,-23383100000.0,8095900000.0,11614700000.0,4795200000.0,
Pretax Income,32987700000.0,61036700000.0,58961000000.0,27406000000.0,
Other Non Operating Income Expenses,2277900000.0,406400000.0,507400000.0,4546000000.0,
Special Income Charges,-3384800000.0,143200000.0,3272600000.0,-1719100000.0,
Other Special Charges,3384800000.0,-2216000000.0,-1019700000.0,1719100000.0,
Write Off,,2072800000.0,0.0,,-108700000.0
Impairment Of Capital Assets,0.0,2072800000.0,0.0,,
Restructuring And Mergern Acquisition,,0.0,-2252900000.0,,1204500000.0
Net Non Operating Interest Income Expense,3131400000.0,22179700000.0,6605200000.0,-1554700000.0,
Total Other Finance Cost,,,,,70000000.0
Interest Expense Non Operating,2236100000.0,2159400000.0,2763800000.0,1554700000.0,
Interest Income Non Operating,5367500000.0,24339100000.0,9369000000.0,,3336200000.0
Operating Income,30938900000.0,36802400000.0,47806000000.0,25896400000.0,
Operating Expense,277657400000.0,215945700000.0,202383300000.0,246855600000.0,
Other Operating Expenses,120872200000.0,100286400000.0,92561400000.0,143625900000.0,
Depreciation And Amortization In Income Statement,35704100000.0,22970400000.0,16279000000.0,12923400000.0,
Amortization,6066000000.0,2566700000.0,627300000.0,,165000000.0
Depreciation Income Statement,29638100000.0,20403700000.0,15651700000.0,12923400000.0,
Selling General And Administration,107548200000.0,92585300000.0,84396100000.0,75613700000.0,
Selling And Marketing Expense,104572800000.0,89659400000.0,82777900000.0,75613700000.0,
General And Administrative Expense,2975400000.0,2925900000.0,1618200000.0,,774100000.0
Rent And Landing Fees,1827000000.0,1435600000.0,1180000000.0,,1695800000.0
Gross Profit,308596300000.0,252748100000.0,250189300000.0,272752000000.0,
Cost Of Revenue,91097700000.0,83792600000.0,75108600000.0,37076300000.0,
Total Revenue,399694000000.0,336540700000.0,325297900000.0,309828300000.0,
Operating Revenue,399694000000.0,336540700000.0,325297900000.0,309828300000.0,
