cap,company,2022,2023,2024,2025,2026
Large,ACC,17419.0,,19574.0,20830.0,25045.0
Large,AMBUJACEM,30983.0,,32530.0,33654.0,39969.0
Large,BIRLACORPN,,8508.0,9470.0,9214.0,9656.0
Large,DALBHARAT,,13237.0,14334.0,13980.0,14804.0
Large,GRASIM,,116467.0,129579.0,148478.0,175431.0
Large,HEIDELBERG,,2209.0,2358.0,2149.0,2330.0
Large,JKLAKSHMI,,6451.0,6788.0,6193.0,6763.0
Large,RAMCOCEM,,8122.0,9349.0,8518.0,9029.0
Large,SHREECEM,,17441.0,20092.0,19283.0,20943.0
Large,ULTRACEMCO,,62338.0,69810.0,75955.0,88512.0
Mid,BURNPUR,,146.0,134.0,0.0,0.0
Mid,JKCEMENT,,9504.0,11203.0,11879.0,13722.0
Mid,NCLIND,,1610.0,1643.0,1362.0,1422.0
Mid,ORIENTCEM,,2934.0,3177.0,2704.0,2792.0
Mid,PRISMCEM,,7210.0,7331.0,6780.0,7326.0
Small,ASTRAL,,5145.0,5629.0,5832.0,6569.0
Small,CERA,,1800.0,1866.0,1915.0,2050.0
Small,HSIL,,109.0,106.0,107.0,232.0
Small,SOMANYCERA,,2465.0,2590.0,2643.0,2771.0
Small,SUPREMEIND,,9137.0,10080.0,10359.0,11135.0
